,Compound Score,Negative Score,Neutral Score,News Organization,Positive Score,Tweet,Tweet Number
0,0.7964,0.0,0.728,@BBC,0.272,"Gary Barlow and his ten-piece band perform songs including Greatest Day, Back for Good and Rule the World against t… https://t.co/xAcRAKlkmn",0
1,0.8268,0.0,0.688,@BBC,0.312,"The world's greatest classical musical festival is back! 🎶🎻👏 @bbcproms 2018

First Night of the Proms | 8:30pm |… https://t.co/JKCkC5EMMs",1
2,0.0,0.0,1.0,@BBC,0.0,"RT @BBCSport: This is some semi-final.

Watch Kevin Anderson and John Isner live on @BBCTwo and online.

https://t.co/gmKgD0Vwbx https://t.…",2
3,-0.7876,0.331,0.669,@BBC,0.0,"When someone gets sassy but you've got a killer comeback... 😂👏 @robbrydon #WILTY

https://t.co/cmdBgsfTm1",3
4,0.9022,0.0,0.643,@BBC,0.357,"The best time to plant a tree was 20 years ago. The second best time is now. 🌳

Eight Chinese proverbs to help with… https://t.co/zqSO489S8G",4
5,-0.0516,0.062,0.938,@BBC,0.0,"When your colleagues ask why you need to leave work at 5pm on the dot... 🍷💃

#FridayFeeling #Versailles https://t.co/Tmba34H72w",5
6,0.0,0.0,1.0,@BBC,0.0,RT @BBCNews: Downton Abbey film finally confirmed https://t.co/VcQvk7lFJb,6
7,0.0382,0.0,0.943,@BBC,0.057,"""I can't pay you, but you can use the photos in your portfolio."" 🙄  

Every photographer can relate to this. 

https://t.co/AIriphAyym",7
8,-0.7579,0.427,0.418,@BBC,0.155,"The secret to a long, happy relationship? 

Lying, lying and more lying. ❤️️😂 @rhysnicholson

https://t.co/K0t1XAHovC",8
9,0.3182,0.0,0.881,@BBC,0.119,"The original 1926 map of The Hundred Acre Wood from Winnie-the-Pooh has sold for a record £430,000. 📖🍯… https://t.co/YoDZxpIlLe",9
10,0.0,0.0,1.0,@BBC,0.0,RT @bbcproms: A Spectacular curtain raiser last night by @AnnaHMeredith &amp; @59productions  commissioned by @bbcproms @edintfest @1418NOW  in…,10
11,0.0,0.0,1.0,@BBC,0.0,RT @BBCTheOneShow: It's @ChrisGPackham UK Bioblitz 2018. Over ten days Chris &amp; his team will visit 50 wildlife sites in the UK to highlight…,11
12,0.0,0.0,1.0,@BBC,0.0,"Who is the mysterious Hester Appleyard?

Natalie Dormer spills the beans on her enigmatic role in… https://t.co/6oHcD9SONr",12
13,0.1779,0.0,0.909,@BBC,0.091,"""I think the NHS is one of the biggest assets we have in this country,"" says @JonniePeacock.… https://t.co/PTiCP0xeHc",13
14,0.0,0.0,1.0,@BBC,0.0,"⚠️ Watch out! ⚠️ Today is Friday the 13th...

📆😰 But why is this date considered unlucky?

https://t.co/RJelR8Rw6p",14
15,-0.0772,0.071,0.929,@BBC,0.0,"😺🎬 Meet Lisio, the ginger cat who jumped onto his owner's shoulders during a serious TV interview.

👉… https://t.co/7DmhNcHnU6",15
16,0.6249,0.0,0.785,@BBC,0.215,"Great Britain's John Curry was the world's first out gay Olympian. This is his story. ⛸

https://t.co/8kFobV3AWe",16
17,-0.0258,0.215,0.539,@BBC,0.246,Not all heroes wear capes. This Australian diving doctor abandoned his holiday to stay with the boys trapped in a c… https://t.co/BRaTqIJP19,17
18,0.0,0.0,1.0,@BBC,0.0,"Orkney’s mysterious stone circles are older than Stonehenge... 

https://t.co/Cbuq22PkVm",18
19,0.6597,0.178,0.512,@BBC,0.31,"RT @BBCOne: Love and trust, shattered by secrets and lies. Keeping Faith from @BBCWales starring @TeamEveMyles starts tonight at 9pm on BBC…",19
20,0.4404,0.0,0.854,@BBC,0.146,"The university access watchdog says students' backgrounds should be taken into account when awarding places, to imp… https://t.co/q9vW9zt46B",20
21,0.0,0.0,1.0,@BBC,0.0,"Why are more parents around the world choosing to raise only children?

https://t.co/bWil43TvES",21
22,-0.3182,0.087,0.913,@BBC,0.0,"RT @BBCFOUR: Dr Lucy Worsley shows how Britain's new ruling family fought the French, the Jacobites and each other, all at the same time. T…",22
23,0.0,0.0,1.0,@BBC,0.0,Meet the people getting the @bbcproms off to a spectacular start. 😍🎶🎻 https://t.co/rD5I0XXrLz https://t.co/5im1Tokqsr,23
24,0.0,0.0,1.0,@BBC,0.0,"♻️🥛Meet the schoolchildren who redesigned their milk cartons without plastic straws. 

Their school now uses fully… https://t.co/hK4M1UtcHk",24
25,-0.1788,0.182,0.733,@BBC,0.086,"Adam can't hide the fact that he has a stutter, and he doesn't want to anymore.

https://t.co/JVzJkk828L",25
26,0.0,0.0,1.0,@BBC,0.0,"Native wildlife is ""flocking back"" to the Outer Hebrides following a 17-year project to eradicate the American mink… https://t.co/QbGQddmWyW",26
27,0.0,0.0,1.0,@BBC,0.0,"Walrus siestas can last a week! 💤 These incredible creatures know how to nap... 

https://t.co/qZRpNBkpuc",27
28,0.0,0.0,1.0,@BBC,0.0,"It’s not coming home. 💔

But it's been an incredible journey. ♥️

https://t.co/TrqeqzfTUq  #ENG #WorldCup… https://t.co/nCoN5lDJys",28
29,0.0,0.0,1.0,@BBC,0.0,"RT @BBCSport: GOAL

Mario Mandzukic drills Croatia in front.

#CRO 2-1 #ENG 

LIVE:
📱 https://t.co/C5GtYW7jpj 
📻 @5liveSport 

#ENGCRO #Wor…",29
30,-0.1027,0.076,0.924,@BBC,0.0,"RT @BBCSport: Extra-time it is... and we're underway...

How are your nerves?

#CRO 1-1 #ENG 

LIVE:
📱 https://t.co/C5GtYW7jpj 
📻 @5liveSpo…",30
31,0.3612,0.0,0.865,@BBC,0.135,"Full time: #CRO 1-1 #ENG 

Who's ready for another 30 minutes?

Follow it live: 
📱 https://t.co/TrqeqzfTUq  
📻… https://t.co/CuPZrrxFEW",31
32,-0.296,0.306,0.694,@BBC,0.0,RT @BBCBreakfast: No fingernails left... https://t.co/E4oE20owSY,32
33,0.0,0.0,1.0,@BBC,0.0,"RT @BBCSport: GOAL 

#CRO 1-1 #ENG 

Ivan Perisic meets a cross to flick Croatia level.

LIVE:
📱 https://t.co/C5GtYW7jpj 
📻 @5liveSport htt…",33
34,-0.0191,0.056,0.944,@BBC,0.0,"It doesn't matter where you're watching, as long as you're watching. ⚽️⚽️⚽️

Millions of #ENG fans are watching… https://t.co/geST9JHDr4",34
35,0.0,0.0,1.0,@BBC,0.0,"RT @5liveSport: Only three men have ever scored for #ENG in a semi-final of a #WorldCup

⚽ Sir Bobby Charlton
⚽ @GaryLineker
⚽ Kieran Tripp…",35
36,0.6705,0.0,0.776,@BBC,0.224,"RT @BBCOne: We’re pretty sure that exactly 53% of the population is covered in beer right now 🤔🤗 #ENGCRO #WorldCup

https://t.co/l5UTbo9n7x",36
37,0.3182,0.0,0.874,@BBC,0.126,A gripping reimagining of Joan Lindsay's iconic novel that delves into the mysterious disappearances of three schoo… https://t.co/d4nPoQXIYJ,37
38,0.0,0.0,1.0,@BBC,0.0,"Half time in Moscow. 

#CRO 0-1 #ENG
￼
Follow:

📱 https://t.co/5KN3TtJ2Zz  
📻 @5livesport

#ENGCRO #WorldCup https://t.co/TVSyyaX8dl",38
39,0.0,0.0,1.0,@BBC,0.0,"RT @BBCSport: GOAL!

What a start! What a goal!

Kieran Trippier whips a free-kick right in! 

#CRO 0-1 #ENG 

LIVE: 
📱 https://t.co/C5GtYW…",39
40,0.0,0.0,1.0,@BBC,0.0,"It's time. ⚽️

#ENGCRO #worldcup #bbcworldcup https://t.co/A0zRUx5CVK",40
41,0.0,0.0,1.0,@BBC,0.0,"Prince Harry knows... #ItsComingHome ️⚽️➡️🏠

#ENGCRO #ENG #WorldCup #ThreeLions 

https://t.co/ouBlfHLWry",41
42,0.0,0.0,1.0,@BBC,0.0,"The @BBCEastenders prediction for tonight's #WorldCup semi-final? 

""Ta-ta Croatia!"" 👋😂 @MrDDyer

#ThreeLions… https://t.co/wRv1AlP9s6",42
43,0.0,0.0,1.0,@BBC,0.0,"What's that David Attenborough... it's coming home? 🏴󠁧󠁢󠁥󠁮󠁧󠁿️⚽️🏆😆

🔊 Turn your sound on!  🔊

#WorldCup #ThreeLions… https://t.co/fkYYIqg2fO",43
44,0.0,0.0,1.0,@BBC,0.0,The National Gallery has acquired its first work by a woman for 27 years. 🖌 https://t.co/WkCtpvqKtN https://t.co/NZRjCCw3z5,44
45,0.5994,0.0,0.692,@BBC,0.308,"The last time #ENG played a #WorldCup Semi Final, @bbceastenders looked like this... https://t.co/JeYtBettzm",45
46,0.3612,0.0,0.884,@BBC,0.116,"🤔 Game Boys, Vanilla Ice and a new TV programme called 'The Simpsons'... 

This is what #England looked like last t… https://t.co/YTCXpNJvqb",46
47,0.0,0.0,1.0,@BBC,0.0,"RT @BBCSport: Just hold on...it's coming home.

#WorldCup #ThreeLions https://t.co/TCTpYhNV1s",47
48,0.5719,0.0,0.829,@BBC,0.171,"This will give you goosebumps. 

The last time England won a #WorldCup semi-final it was a 2-1 victory over Portuga… https://t.co/2gRGni9S3y",48
49,-0.2732,0.095,0.905,@BBC,0.0,"In this city, a six-figure salary is considered 'low income' and not enough for a family of four to get by on.… https://t.co/1qyDWTPSrG",49
50,0.5859,0.0,0.798,@BBC,0.202,"#BluePlanet2 ✅ 
That unforgettable concert ✅ 
Brilliant Bedtime Stories ✅
A new Doctor ✅
and so much more. Here are… https://t.co/ZVSKIHOXDk",50
51,0.5018,0.0,0.755,@BBC,0.245,"RT @BBCSport: More of this please! 😊

#ENGCRO #ENG #ThreeLions #bbcworldcup https://t.co/706Vsdfy2Y",51
52,-0.8402,0.429,0.571,@BBC,0.0,"💈⚽️🙌🏾 Dead trims, missed penalties, 30 yard screamers, calling players out, football coming home...… https://t.co/ZrrQJ1Qn9h",52
53,0.0,0.0,1.0,@BBC,0.0,"🌡🔥☀️ This one goes out to all the gingers braving the sun today... 

https://t.co/4Ed3y2Xp0f",53
54,0.0,0.0,1.0,@BBC,0.0,"The heatwave has unveiled ancient hillforts and Roman settlements in Wales. 👉
 https://t.co/L1VdHWkMP7 https://t.co/luXjJV5v3Y",54
55,0.0,0.0,1.0,@BBC,0.0,"Take a look at the rollercoaster years at Nokia, a company that dominated a nation. 

The Rise and Fall of Nokia |… https://t.co/7uflzUaeTj",55
56,0.8625,0.0,0.556,@BBC,0.444,"Can you feel richer by giving your money away? 💸 This lottery winner thinks so.

https://t.co/BgKlrEfssV",56
57,0.7717,0.0,0.676,@BBC,0.324,"'I wanted to live inside you like a parasite'. 

A letter to my first love 💌👉 https://t.co/batgnuHRoi https://t.co/G0kGuLzHqU",57
58,-0.8338,0.34,0.593,@BBC,0.066,"🙅No one likes making mistakes, but messing up isn’t always a bad thing.

Here are six reasons why making mistakes c… https://t.co/N7jMLZKLcE",58
59,0.7269,0.0,0.711,@BBC,0.289,"RT @bbctennis: Serena Williams has some pretty big names supporting her.

Oh hey, @Drake 

LIVE👉https://t.co/RIpcahMeKm
📺 @BBCOne 
#bbctenn…",59
60,0.6763,0.079,0.68,@BBC,0.242,"No one does strawberries like we do in Britain! 🍓🇬🇧🍦

Now they're in season, make the most of these delicious straw… https://t.co/QKdHxenZNu",60
61,0.4939,0.0,0.868,@BBC,0.132,'Everyone safe': all 12 members of a Thai youth football team and their coach have been brought safely out of the c… https://t.co/c5bzSFM2ND,61
62,0.0,0.0,1.0,@BBC,0.0,"Neelam and Dinesh’s son Akash took his own life three years ago. 

Now they’re trying to get the British Asian comm… https://t.co/pX5ZIH2mj3",62
63,0.4588,0.073,0.769,@BBC,0.158,"Ever found something weird and wonderful on a British beach? 

@BBCFOUR will be LIVE from the Jurassic Coast next w… https://t.co/CY4ej7SjQh",63
64,-0.5632,0.188,0.812,@BBC,0.0,"Have you ever seen a baby puffin? 🐣

Experts worry we may not get the chance in the future if Scotland’s puffin pop… https://t.co/uRKs7VXQMv",64
65,0.0,0.0,1.0,@BBC,0.0,RT @bbcweather: Remember to look up around 1pm today if you're in London / SE / Suffolk / Colchester / Chelmsford for the @RoyalAirForce #R…,65
66,0.3612,0.0,0.884,@BBC,0.116,"RT @BBCOne: “I felt like a piece of meat at a meat market”.

@BBCPanorama investigates President Donald Trump.

Tonight | 8.30pm | BBC One…",66
67,0.8402,0.0,0.5,@BBC,0.5,RT @BBCNews: Cave rescue: Divers ready to save remaining five Thais https://t.co/ed7GteDLor,67
68,0.0,0.0,1.0,@BBC,0.0,"RT @bbcweather: London's sunset last night, photographed by Funda Cizgenakad. Jo https://t.co/gijPHaWMpa",68
69,0.4939,0.0,0.856,@BBC,0.144,"RT @BBCSport: We have some exciting news...

@andy_murray will be joining the BBC commentary team this week at @Wimbledon 

👉 https://t.co/…",69
70,0.0,0.0,1.0,@BBC,0.0,"Sue has looked after lots of orphaned wombats before, but Stacy is a real handful! 😳

https://t.co/JCFTLP1Xjg",70
71,0.5719,0.0,0.829,@BBC,0.171,"Today, @sophieraworth presents live coverage of events to celebrate 100 years of aviation and endeavour in the Roya… https://t.co/l0Of2zTYaH",71
72,0.6369,0.0,0.833,@BBC,0.167,"The greatest ice skater of all time, John Curry transformed a dated sport into an art form and made history by beco… https://t.co/rKqQzp8Gv5",72
73,0.5994,0.0,0.818,@BBC,0.182,"“I want to tell you honey you are the hero in my heart”

Saman Gunan's wife and father tell @BBCWorld about the man… https://t.co/axL8XkMgc0",73
74,0.4767,0.0,0.78,@BBC,0.22,"That time David Attenborough made friends with a baby rhino. 😭❤️️🦏 #Africa 

https://t.co/Z5F0jaNk57",74
75,0.9403,0.0,0.505,@BBC,0.495,"Although they're great fun, they're not always great for the environment... 

Here's how to go to a festival withou… https://t.co/tvnMfnCrlL",75
76,0.0,0.0,1.0,@BBC,0.0,"RT @BBCBreaking: Prince Louis arrives for his christening service at the Chapel Royal, St James's Palace

https://t.co/TGe9Ld5mpM https://t…",76
77,0.8268,0.0,0.675,@BBC,0.325,"RT @BBCRadio2: Happy International Town Criers' Day! Watch @chestercrier teach @ed_miliband how to do the perfect ""oyez""  🗣 https://t.co/Ha…",77
78,0.8221,0.0,0.664,@BBC,0.336,"""Can I drum?” 🥁🤷‍♂️

This is the amazing moment when @thekillers let a fan join them on stage at @TRNSMTfest! 🙌… https://t.co/6DnHpaJxer",78
79,-0.5423,0.22,0.78,@BBC,0.0,"RT @BBCBreaking: Boris Johnson resigns as UK Foreign Secretary, following the resignation of Brexit Secretary David Davis https://t.co/gFKn…",79
80,0.4215,0.0,0.872,@BBC,0.128,"Divers have rescued four more boys from the vast flooded cave system in northern Thailand.

Follow live updates her… https://t.co/cuWPaHhVTW",80
81,-0.4767,0.205,0.795,@BBC,0.0,"Searching for the 'angel' who held me during the Westminster attack. 

https://t.co/Hgb96AhD1J https://t.co/SPXbsc6t1A",81
82,0.6597,0.115,0.531,@BBC,0.354,"RT @bbctennis: The number of Grand Slam singles titles won by today's Centre Court players.

🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆…",82
83,0.0,0.0,1.0,@BBC,0.0,"'I spread happiness': meet Irene, a yoga teacher who teaches in prisons. 🧘

https://t.co/LkBRZK5BJe",83
84,-0.5255,0.166,0.834,@BBC,0.0,"What's wrong with the way we decorated?! 😂🛀👷

Couple find a 23-year-old hidden message while refurbishing their bat… https://t.co/gfFrVjlZee",84
85,0.0,0.0,1.0,@BBC,0.0,Prince Louis will be christened later in a private ceremony in the Chapel Royal at St James's Palace. 👶… https://t.co/NOvYzzMN0F,85
86,0.25,0.0,0.913,@BBC,0.087,RT @BBCWorld: Cave divers in Thailand are poised to restart the high-risk operation to extract the remaining eight boys and their football…,86
87,-0.6486,0.281,0.719,@BBC,0.0,RT @BBCWorld: Japan floods: At least 100 dead in record rainfall https://t.co/SyQmfJ7R2J,87
88,0.6597,0.0,0.795,@BBC,0.205,"RT @bbcgetinspired: Way back when @England winning the #WorldCup was just a pipe dream, we caught up with Gareth Southgate to find out his…",88
89,0.0,0.0,1.0,@BBC,0.0,"RT @BBCArchive: #OnThisDay 2001: The Office was first broadcast, on @BBCTwo. https://t.co/TgfV8bNhy4",89
90,0.5719,0.0,0.701,@BBC,0.299,"What's it like living with OCD? These people share their experience. 
#TrustMeImADoctor https://t.co/Ed41awcqEM",90
91,-0.0516,0.085,0.915,@BBC,0.0,"'I didn’t leave the house for three months because of my anxiety.'
👉 https://t.co/8q5C6bvqI7 https://t.co/qlAwtudj5E",91
92,0.0,0.0,1.0,@BBC,0.0,⚡ This Korean entrepreneur has an idea that could revolutionise how power is generated. https://t.co/csjLDoyZoN,92
93,0.4019,0.0,0.787,@BBC,0.213,"Justin Bieber 'engaged to Hailey Baldwin', US media say. 👉 https://t.co/j8cKfq8AtD https://t.co/HkqnZAQJi4",93
94,-0.6908,0.207,0.793,@BBC,0.0,"RT @BBCBreaking: UK police launch murder inquiry after Dawn Sturgess, 44, dies after exposure to nerve agent Novichok https://t.co/adk3o7Sj…",94
95,0.0,0.0,1.0,@BBC,0.0,"✊🛍🛒 This family have changed their shopping habits to reduce their plastic footprint.
#PlasticsAction https://t.co/RL3U1Vk7EN",95
96,0.0,0.0,1.0,@BBC,0.0,❤️ This man is cleaning all 388 Holocaust plaques in his city. https://t.co/AfdxFBxxJ4,96
97,-0.6908,0.439,0.561,@BBC,0.0,'Did air pollution kill my daughter?' https://t.co/XzWSWFga6S,97
98,0.5106,0.0,0.864,@BBC,0.136,"The operation to free 12 boys and their coach from a cave in northern Thailand is running ""smoothly"", the head of t… https://t.co/fbCN1JeN1K",98
99,0.5994,0.0,0.794,@BBC,0.206,"🎶🎻✨ Tonight, @thekatiederham introduces 2018's open-air concert from the magnificent gardens of the Schonbrunn Pala… https://t.co/AHAYPRtAJn",99
100,0.0,0.0,1.0,@CBS,0.0,Take a walk down @YandR_CBS memory lane with stars @JessWaltonYR and Peter Bergman! You can watch full episodes of… https://t.co/MZEUfiJJyb,0
101,0.6514,0.0,0.718,@CBS,0.282,RT @TKOCBS: Prepare to have some major FUN. #TKO starts NOW! https://t.co/i2ftL6GCj5,1
102,0.5562,0.0,0.826,@CBS,0.174,"It’s fun, different, unique, and finally here! @TKOCBS hosted by @KevinHart4real premieres at 9/8c on CBS and… https://t.co/MCeVLVK85i",2
103,0.5411,0.0,0.857,@CBS,0.143,"RT @MagnumPICBS: Talk about hands-on research! #MagnumPI's cast had the honor of joining the US Navy Submarine Force, US Pacific Fleet #Sub…",3
104,0.0,0.0,1.0,@CBS,0.0,Time to mark your calendars! CBS' fall 2018 premiere lineup has been announced: https://t.co/yYv3H9aEO7 https://t.co/lRxAA7suie,4
105,-0.3818,0.106,0.894,@CBS,0.0,"RT @TKOCBS: The Ball Buster, the Frisboom, the Spike Launcher, and the Slammer… Get to know all of the #TKO Battle Stations: https://t.co/2…",5
106,0.3182,0.0,0.897,@CBS,0.103,"RT @cbsallaccess: How much does it cost to bury the truth? #OneDollar premieres August 30, exclusively on CBS All Access. https://t.co/2HdY…",6
107,0.4019,0.0,0.847,@CBS,0.153,"RT @SalvationCBS: Mark your calendars, #Salvies: Monday's new #SalvationCBS will air at a special time, 10/9c. https://t.co/RUh1J7cfj8",7
108,0.7777,0.0,0.657,@CBS,0.343,Happy #InternationalKissingDay! See which stars we caught locking lips on the CBS Kiss Cam. 😘 https://t.co/oMPCHZlgCl,8
109,0.3612,0.0,0.898,@CBS,0.102,Have you heard? Tonight's the first Live Show of #BB20. Grab a seat and get ready to watch the action unfold on CBS… https://t.co/0YgRV1HLGd,9
110,0.3182,0.0,0.892,@CBS,0.108,"How much does it cost to bury the truth? #OneDollar premieres Thursday, August 30, exclusively on CBS All Access.… https://t.co/1tab8eCaFz",10
111,0.0,0.0,1.0,@CBS,0.0,Take a first look at our @Comic_Con lineup along with details of what you can expect to see:… https://t.co/JqBtlKcwq3,11
112,0.0,0.0,1.0,@CBS,0.0,RT @TrueCrimeCBS: Two new true-crime series are set to premiere this July on CBS! Learn more about #Whistleblower and #PinkCollarCrimes bef…,12
113,0.5411,0.0,0.741,@CBS,0.259,"If at first you don’t succeed on @PriceIsRight…bid, bid again! https://t.co/OWBaOsFZ3i",13
114,0.0,0.0,1.0,@CBS,0.0,What’s summer without @CBSBigBrother? ☀️ RT if you’re counting down the hours to the #BB20 premiere TONIGHT at 8/7c… https://t.co/Xp1s4Fp5J8,14
115,0.7574,0.0,0.711,@CBS,0.289,"It looks like you...

(•_•)
( •_•)&gt;⌐■-■
(⌐■_■)

Have a lot of TV to watch!

Celebrate #NationalSunglassesDay with H… https://t.co/Babt4ajIgV",15
116,0.5574,0.0,0.796,@CBS,0.204,The world will finally know the truth. ☄️ Make sure to tune in to the heart-pounding Season 2 premiere of… https://t.co/mqMleW90DY,16
117,0.1867,0.0,0.902,@CBS,0.098,Tonight's the night! Don't miss model @ashleygraham on the season finale of Celebrity @undercover_cbs at 8/7c. https://t.co/iBxAOcOF7a,17
118,0.4199,0.0,0.811,@CBS,0.189,"Every day is #TakeYourDogToWorkDay for shows like @HawaiiFive0CBS, @MomCBS, @SEALTeamCBS, and @bigbangtheory! https://t.co/DJaOt1VQcw",18
119,0.4926,0.0,0.758,@CBS,0.242,"Lights, camera, selfie! 📸 Could there be a better photo for #NationalSelfieDay? https://t.co/14Ewx64yKC",19
120,0.3555,0.136,0.642,@CBS,0.222,There’s nothing quite like watching a contestant win a brand new car on @PriceIsRight. 👏  https://t.co/aKlFikYAMM,20
121,0.0,0.0,1.0,@CBS,0.0,Time to make your predictions for #BB20! 👏 Get to know the @CBSBigBrother Houseguests before the big premiere next… https://t.co/jlpIchJ9sk,21
122,0.0,0.0,1.0,@CBS,0.0,RT @CBSBigBrother: Meet the cast of #BB20... before anyone else! Start streaming all their live interviews beginning at 11am EST/8am PST on…,22
123,0.9392,0.0,0.507,@CBS,0.493,"Today and every day we celebrate their love, guidance, and support. Happy #FathersDay to every kind of dad! https://t.co/Wffax1khBH",23
